Erecoil_keV,pdf,cdf
0.002906,15.4935549112251,0.992687807564346
0.002907,15.4645717624023,0.992703286627683
0.002908,15.4356378575848,0.992718736732493
0.002909,15.4067531181035,0.992734157927981
0.00291,15.377917466153,0.992749550263273
0.002911,15.3491308232996,0.992764913787418
0.002912,15.3203931119687,0.992780248549385
0.002913,15.2917042534678,0.992795554598068
0.002914,15.2630641704569,0.99281083198228
0.002915,15.2344727854628,0.992826080750758
0.002916,15.2059300203935,0.992841300952161
0.002917,15.1774357980102,0.99285649263507
0.002918,15.1489900409448,0.992871655847989
0.002919,15.120592672431,0.992886790639346
0.00292,15.0922436146033,0.99290189705749
0.002921,15.0639427909271,0.992916975150692
0.002922,15.0356901244971,0.99293202496715
0.002923,15.0074855382832,0.992947046554981
0.002924,14.9793289560927,0.992962039962229
0.002925,14.9512203008866,0.992977005236857
0.002926,14.9231594967006,0.992991942426756
0.002927,14.8951464669665,0.993006851579738
0.002928,14.8671811357084,0.993021732743539
0.002929,14.8392634263519,0.99303658596582
0.00293,14.8113932638606,0.993051411294165
0.002931,14.7835705714162,0.993066208776083
0.002932,14.7557952742064,0.993080978459006
0.002933,14.7280672958806,0.993095720390291
0.002934,14.700386560912,0.993110434617219
0.002935,14.6727529945879,0.993125121186997
0.002936,14.6451665211376,0.993139780146755
0.002937,14.6176270656059,0.993154411543548
0.002938,14.5901345529166,0.993169015424357
0.002939,14.5626889078757,0.993183591836088
0.00294,14.5352900560965,0.99319814082557
0.002941,14.5079379228407,0.993212662439559
0.002942,14.4806324330231,0.993227156724737
0.002943,14.453373512592,0.99324162372771
0.002944,14.4261610869184,0.99325606349501
0.002945,14.3989950819434,0.993270476073094
0.002946,14.3718754234909,0.993284861508347
0.002947,14.3448020377236,0.993299219847077
0.002948,14.3177748502345,0.993313551135522
0.002949,14.2907937876364,0.99332785541984
0.00295,14.2638587759732,0.993342132746122
0.002951,14.2369697420766,0.993356383160381
0.002952,14.2101266117641,0.993370606708558
0.002953,14.1833293123127,0.99338480343652
0.002954,14.156577770435,0.993398973390062
0.002955,14.1298719127311,0.993413116614903
0.002956,14.1032116659142,0.993427233156693
0.002957,14.0765969576961,0.993441323061004
0.002958,14.0500277147878,0.993455386373341
0.002959,14.0235038646758,0.99346942313913
0.00296,13.9970253347346,0.99348343340373
0.002961,13.9705920526683,0.993497417212424
0.002962,13.9442039458505,0.993511374610423
0.002963,13.9178609419848,0.993525305642867
0.002964,13.8915629693203,0.993539210354823
0.002965,13.8653099553416,0.993553088791285
0.002966,13.8391018282967,0.993566940997177
0.002967,13.8129385165411,0.993580767017349
0.002968,13.7868199481051,0.993594566896581
0.002969,13.7607460515604,0.993608340679581
0.00297,13.7347167549407,0.993622088410985
0.002971,13.7087319874638,0.993635810135356
0.002972,13.6827916775943,0.993649505897188
0.002973,13.6568957541201,0.993663175740904
0.002974,13.6310441461499,0.993676819710855
0.002975,13.605236782686,0.993690437851319
0.002976,13.5794735926263,0.993704030206507
0.002977,13.5537545051897,0.993717596820556
0.002978,13.5280794503345,0.993731137737533
0.002979,13.5024483570689,0.993744653001437
0.00298,13.4768611547221,0.993758142656193
0.002981,13.4513177735689,0.993771606745657
0.002982,13.4258181429414,0.993785045313615
0.002983,13.4003621929067,0.993798458403783
0.002984,13.3749498536365,0.993811846059806
0.002985,13.3495810547853,0.993825208325261
0.002986,13.324255727151,0.993838545243652
0.002987,13.2989738008067,0.993851856858416
0.002988,13.2737352057281,0.993865143212919
0.002989,13.2485398730261,0.993878404350458
0.00299,13.2233877332973,0.993891640314262
0.002991,13.1982787168353,0.993904851147487
0.002992,13.1732127550616,0.993918036893223
0.002993,13.1481897784806,0.993931197594489
0.002994,13.1232097183139,0.993944333294238
0.002995,13.0982725058861,0.99395744403535
0.002996,13.0733780722209,0.993970529860639
0.002997,13.0485263486498,0.993983590812849
0.002998,13.0237172670103,0.993996626934657
0.002999,12.9989507586394,0.99400963826867
0.003,12.97422675498,0.994022624857427
0.003001,12.9495451883786,0.994035586743398
0.003002,12.924905990086,0.994048523968988
0.003003,12.9003090926535,0.994061436576529
0.003004,12.8757544277401,0.994074324608289
