EV	DT	TS	P	Type	E1	D3	PX3	PY3	PZ3	X3	Y3	Z3	time3	PX1	PY1	PZ1	X1	Y1	Z1	time1	nCap	
6015	1	400042	100000	2112	1.033345211e-05	0	0.07397959471	0.01007276233	-0.1156303814	-31.08756696	21.13673988	20.72427928	6634.56095	-0.09380587473	0.09876546675	-0.02938958752	5.858827899	-17.76304058	32.2996663	5400.182508	0	
6015	1	400043	100000	2112	1.00816967e-05	0	0.07397959471	0.01007276233	-0.1156303814	-30.65245585	21.19598285	20.044199	6652.993887	0.07397959471	0.01007276233	-0.1156303814	-31.08756696	21.13673988	20.72427928	6634.56095	0	
6015	1	700028	100000	22	0.1467899226	0	0.1066428327	-0.02519605823	0.0587586282	17.12720215	8.393450158	23.64343028	30.62437064	0.03189292785	0.1015839455	0.1010486246	15.99121417	4.775151392	20.044199	30.6069303	0	
6015	1	700029	100000	22	0.1243386967	0	0.08808390891	-0.02492313426	-0.06120487132	21.34133972	7.397793414	25.96535793	30.64076002	0.1066428327	-0.02519605823	0.0587586282	17.12720215	8.393450158	23.64343028	30.62437064	0	
6015	1	700030	100000	22	0.1101179999	0.011103	0	-0	-0	22.68722475	7.01697842	25.03017328	30.64637243	0.08808390891	-0.02492313426	-0.06120487132	21.34133972	7.397793414	25.96535793	30.64076002	0	
6015	1	2800001	400000	70032	2.750239219e-07	2.750239219e-07	-0	0	0	-31.08756716	21.13673993	20.72427941	6634.561241	-0.1539119412	0.03829248158	0.1032601761	-31.08756696	21.13673988	20.72427928	6634.56095	0	
6015	1	2800002	400000	70032	0	0	-0	0	0	-31.08756716	21.13673993	20.72427941	6634.561241	-0	0	0	-31.08756716	21.13673993	20.72427941	6634.561241	0	
6015	1	2700001	400000	73032	5.142646842e-08	5.142646842e-08	0	0	0	5.858827996	-17.76304054	32.29966633	5400.182811	0.07290787827	0.03543635059	0.0203371745	5.858827899	-17.76304058	32.2996663	5400.182508	0	
6015	1	2700002	400000	73032	0	0	0	0	0	5.858827996	-17.76304054	32.29966633	5400.182811	0	0	0	5.858827996	-17.76304054	32.29966633	5400.182811	0	
6015	1	2600001	400000	76032	3.771128831e-07	3.771128831e-07	0	-0	0	1.623813764	-35.4447841	36.17033572	4982.660298	0.05981994088	-0.2204398296	0.03398034344	1.623813684	-35.44478381	36.17033568	4982.659982	0	
6015	1	2600002	400000	76032	0	0	0	-0	0	1.623813764	-35.4447841	36.17033572	4982.660298	0	-0	0	1.623813764	-35.4447841	36.17033572	4982.660298	0	
6015	1	2500001	400000	70032	5.715555744e-07	5.715555744e-07	-0	0	0	-25.1007426	-11.51019383	44.93087674	4167.454435	-0.163993714	0.169056311	0.1377055627	-25.10074238	-11.51019406	44.93087655	4167.454144	0	
6015	1	2500002	400000	70032	0	0	-0	0	0	-25.1007426	-11.51019383	44.93087674	4167.454435	-0	0	0	-25.1007426	-11.51019383	44.93087674	4167.454435	0	
6015	1	2400001	400000	72032	1.025910024e-08	1.025910024e-08	-0	-0	0	-6.468636707	-36.25725758	24.27828402	3366.375927	-0.0206329897	-0.02738317084	0.01409694534	-6.46863668	-36.25725754	24.278284	3366.375629	0	
6015	1	2400002	400000	72032	0	0	-0	-0	0	-6.468636707	-36.25725758	24.27828402	3366.375927	-0	-0	0	-6.468636707	-36.25725758	24.27828402	3366.375927	0	
6015	1	2300001	400000	76032	1.122534741e-07	1.122534741e-07	-0	-0	0	-6.431132586	-36.75474898	23.61123829	3348.411567	-0.008916186491	-0.1036850841	0.07101727143	-6.431132575	-36.75474884	23.61123819	3348.411252	0	
6015	1	2300002	400000	76032	0	0	-0	-0	0	-6.431132586	-36.75474898	23.61123829	3348.411567	-0	-0	0	-6.431132586	-36.75474898	23.61123829	3348.411567	0	
6015	1	9900001	700000	11	0.09901499991	0.09901499991	0	-0	-0	22.69151059	7.014597958	25.02498543	30.64641603	0.200043618	-0.1111091729	-0.2421453837	22.68722475	7.01697842	25.03017328	30.64637243	0	
6015	1	9800001	700000	11	0.01422069681	0.01422069681	0	-0	0	21.34138188	7.397792794	25.96563042	30.640764	0.01855892377	-0.0002729239689	0.1199634995	21.34133972	7.397793414	25.96535793	30.64076002	0	
6015	1	9700001	700000	11	0.02245122585	0.02245122585	-0	0	0	17.12691798	8.393932133	23.64359105	30.6243774	-0.07474990484	0.1267800037	0.04228999642	17.12720215	8.393450158	23.64343028	30.62437064	0	
6269	1	200019	0	22	9.637	0	-3.201552712	-2.800570712	8.647463959	-19.66272058	14.61246863	53.368999	2.747743186	-3.201552712	-2.800570712	8.647463959	-7.324871669	25.40505005	20.044199	2.623863542	0	
6994	1	700003	500000	22	0.51099891	0	-0.2010869594	0.2818662196	-0.08083505456	24.00634226	-25.0423363	20.87049026	2.660760184	-0.4469777732	0.1078373205	0.2229391589	25.66299975	-25.44201949	20.044199	2.654442672	0	
6994	1	700004	500000	22	0.3555542674	0	-0.2010869594	0.2818662196	-0.08083505456	21.95084298	-22.16111608	20.044199	2.672883422	-0.2010869594	0.2818662196	-0.08083505456	24.00634226	-25.0423363	20.87049026	2.660760184	0	
6994	1	800001	700000	11	0.1554446426	0.1554446426	-0	-0	0	23.99767342	-25.04847166	20.88119977	2.660838559	-0.2458908139	-0.1740288992	0.3037742135	24.00634226	-25.0423363	20.87049026	2.660760184	0	
7282	1	300021	0	22	3.21483	0	-1.124246212	-1.150019771	2.783640945	-31.92565098	-38.48055106	22.15377421	2.727275399	-1.124246212	-1.150019771	2.783640945	-31.07364385	-37.6090115	20.044199	2.719148607	0	
7324	1	200020	0	22	1.135206835	0	-0.6389271895	-0.3236994092	0.8807299804	-22.06173078	-44.8695892	28.98933048	2.876323933	-0.6389271895	-0.3236994092	0.8807299804	-15.57246863	-41.58193709	20.044199	2.837864911	0	
7979	1	800015	400000	22	2.354903447	0	0.2914283654	-0.08272224206	0.9082018019	-15.04395731	-3.496743012	47.95922029	3.65458869	1.926360102	-0.9199091261	0.9942203993	-48.42653898	12.44469053	30.73002018	3.518464644	0	
7979	1	800016	400000	22	0.9573943673	0	0.2914283654	-0.08272224206	0.9082018019	-13.30804028	-3.989484849	53.368999	3.673611177	0.2914283654	-0.08272224206	0.9082018019	-15.04395731	-3.496743012	47.95922029	3.65458869	0	
7979	1	900001	800000	11	1.39750908	1.159062389	-0.4888143795	0.2425245179	-0.0528316446	-14.67514673	-3.685596999	47.9786245	3.656024771	1.634931736	-0.8371868841	0.08601859736	-15.04395731	-3.496743012	47.95922029	3.65458869	0	
7979	1	900002	800000	11	0.2384466905	0.2384466905	-0	0	-0	-14.70190209	-3.672322368	47.97573275	3.656161604	-0.4888143795	0.2425245179	-0.0528316446	-14.67514673	-3.685596999	47.9786245	3.656024771	0	
8164	1	300018	0	22	3.21483	0	-1.068607529	-0.894131389	2.897195012	-18.63665508	25.87790225	53.368999	2.735919563	-1.068607529	-0.894131389	2.897195012	-6.345065446	36.16259127	20.044199	2.612572977	0	
8188	1	200020	0	22	9.637	0	-0	-0	0	17.0651358	-11.25825484	28.80436653	2.662584313	-2.860531651	-3.202481983	8.627469897	19.9696648	-8.006516029	20.044199	2.629944316	0	
8188	1	300001	200000	11	2.158636955	1.454958314	0.5249312058	0.9032449324	0.3505959041	16.81236251	-11.37621295	29.5022971	2.665138664	-0.8812236154	-0.411228089	2.433140392	17.0651358	-11.25825484	28.80436653	2.662584313	0	
8188	1	300002	200000	11	0.7036786409	0.7036786409	0	0	0	16.88632587	-11.2489448	29.55169643	2.665709573	0.5249312058	0.9032449324	0.3505959041	16.81236251	-11.37621295	29.5022971	2.665138664	0	
8188	1	400001	200000	-11	6.456365225	2.030288583	1.007520816	-3.373127909	3.423522314	16.27695803	-12.57186766	30.36792712	2.66963645	-1.93857483	-2.757707804	6.076184526	17.0651358	-11.25825484	28.80436653	2.662584313	0	
8188	1	400002	200000	-11	4.426076642	1.582004583	1.373796894	-3.014117425	0.1521826704	16.65947971	-13.85253061	31.66772312	2.675888931	1.007520816	-3.373127909	3.423522314	16.27695803	-12.57186766	30.36792712	2.66963645	0	
8188	1	400003	200000	-11	2.844072059	1.263977206	0.1781062676	-1.882250608	0.2690687568	17.10925317	-14.83933588	31.71754688	2.679552908	1.373796894	-3.014117425	0.1521826704	16.65947971	-13.85253061	31.66772312	2.675888931	0	
8188	1	400004	200000	-11	1.465894379	1.088576673	0.5923490409	0.1248725059	-0.4018905264	17.15587981	-15.33209234	31.78798668	2.681279239	0.1781062676	-1.882250608	0.2690687568	17.10925317	-14.83933588	31.71754688	2.679552908	0	
8188	1	400005	200000	-11	0.377317706	0.377317706	0	0	-0	17.21253322	-15.32014929	31.74954909	2.681562645	0.5923490409	0.1248725059	-0.4018905264	17.15587981	-15.33209234	31.78798668	2.681279239	0	
8188	1	400006	200000	-11	0	0	0	0	-0	17.21253322	-15.32014929	31.74954909	2.681562645	0	0	-0	17.21253322	-15.32014929	31.74954909	2.681562645	0	
8188	1	700001	400000	22	0.51099891	0	0.2438930882	0.1939414713	-0.3487045711	17.31985245	-15.31916524	31.55804059	2.682294922	0.249805228	0.002290542208	-0.4457712278	17.21253322	-15.32014929	31.74954909	2.681562645	0	
8188	1	700002	400000	22	0.467645176	0	0.2438930882	0.1939414713	-0.3487045711	25.3729341	-8.91543107	20.044199	2.733800987	0.2438930882	0.1939414713	-0.3487045711	17.31985245	-15.31916524	31.55804059	2.682294922	0	
8188	1	800001	700000	11	0.04335373397	0.04335373397	0	-0	-0	17.31990108	-15.32074152	31.55724224	2.682310131	0.005912139751	-0.1916509291	-0.0970666567	17.31985245	-15.31916524	31.55804059	2.682294922	0	
8188	1	600001	400000	22	0.51099891	0	-0.09486393206	-0.220162797	-0.0684676648	8.129278429	-15.40343649	47.95839177	2.743540886	-0.249805228	-0.002290542208	0.4457712278	17.21253322	-15.32014929	31.74954909	2.681562645	0	
8188	1	600002	400000	22	0.2493163531	0	-0.1384459741	0.05401333621	0.06729470231	6.459887476	-19.27780448	46.75351551	2.758175693	-0.09486393206	-0.220162797	-0.0684676648	8.129278429	-15.40343649	47.95839177	2.743540886	0	
8188	1	600003	400000	22	0.1631358489	0.011103	-0	0	0	0.9763799584	-17.13846791	49.41889461	2.779728648	-0.1384459741	0.05401333621	0.06729470231	6.459887476	-19.27780448	46.75351551	2.758175693	0	
8188	1	500001	400000	22	0.1142004734	0	-0.07395663609	0.03430462239	-0.01789481201	18.12493642	-15.26392886	30.88156445	2.68416377	0.0839118547	-0.03507824309	-0.06906566172	17.10925317	-14.83933588	31.71754688	2.679552908	0	
8188	1	500002	400000	22	0.08346625327	0.011103	-0	0	-0	16.53081393	-14.52449865	30.49584487	2.690164924	-0.07395663609	0.03430462239	-0.01789481201	18.12493642	-15.26392886	30.88156445	2.68416377	0	
8188	1	1600001	500000	11	0.07236325327	0.07236325327	0	0	-0	16.53241852	-14.52250503	30.49250459	2.690194022	0.1073085034	0.1333253977	-0.2233847599	16.53081393	-14.52449865	30.49584487	2.690164924	0	
8188	1	1500001	500000	11	0.03073422014	0.03073422014	0	-0	-0	18.12580737	-15.26431164	30.88128214	2.68417374	0.1578684908	-0.06938286548	-0.05117084971	18.12493642	-15.26392886	30.88156445	2.68416377	0	
8188	1	1400001	600000	11	0.1520328489	0.1520328489	-0	-0	0	0.9642454857	-17.14135391	49.4263788	2.779804796	-0.3524392152	-0.08382234895	0.2173744251	0.9763799584	-17.13846791	49.41889461	2.779728648	0	
8188	1	1300001	600000	11	0.08618050423	0.08618050423	0	-0	-0	6.460684037	-19.28281567	46.75103414	2.758212102	0.04358204204	-0.2741761332	-0.1357623671	6.459887476	-19.27780448	46.75351551	2.758175693	0	
8188	1	1200001	600000	11	0.2616825569	0.2616825569	-0	0	0	8.119986248	-15.3903702	47.98923185	2.743695459	-0.1549412959	0.2178722548	0.5142388926	8.129278429	-15.40343649	47.95839177	2.743540886	0	
8249	1	300040	0	22	0.1647969137	0	-0.1334937703	0.006570480601	-0.09640676761	41.10925597	-24.68161047	20.044199	4.385354386	-0.1334937703	0.006570480601	-0.09640676761	43.41881858	-24.79528571	21.71212302	4.375844023	0	
9096	1	100073	0	2112	0.3007210584	0	10.66399429	-14.51999572	-15.01947253	-9.751538165	-13.59044978	22.13022099	129.6868341	-17.73517788	2.770035464	-15.58765476	25.79103018	-19.1417995	53.368999	123.4038917	0	
9096	1	100074	0	2112	0.2927150927	0	10.66399429	-14.51999572	-15.01947253	-8.270439106	-15.60710052	20.044199	130.1222621	10.66399429	-14.51999572	-15.01947253	-9.751538165	-13.59044978	22.13022099	129.6868341	0	
